Mike	18:55 1/5/2022	165
Tom	18:55 1/5/2022	122
Lana	18:55 1/5/2022	76
Mike	18:58 1/5/2022	146
Tom	18:58 1/5/2022	121
Lana	18:58 1/5/2022	127
Lana	18:59 1/5/2022	98
Jim	18:59 1/5/2022	151
Tom	17:46 1/6/2022	193
Lana	17:46 1/6/2022	160
Lana	9:50 1/0/2022	18
Jim	10:1 1/0/2022	161
Lana	10:1 1/0/2022	152
Mike	10:39 1/0/2022	160
Jim	10:39 1/0/2022	158
Lana	10:48 1/0/2022	126
Mike	10:48 1/0/2022	128
Mike	11:4 1/0/2022	110
Tom	11:4 1/0/2022	217
TomH	11:4 1/0/2022	155
Mike	11:6 1/0/2022	145
Mike	11:7 1/0/2022	159
Jim	11:16 1/0/2022	138
Mike	11:18 1/0/2022	139
Tom	11:23 1/0/2022	126
Lana	11:23 1/0/2022	180
Jim	11:26 1/0/2022	146
Mike	11:28 1/0/2022	153
Mike	11:30 1/0/2022	205
Mike	11:31 1/0/2022	143
Mike	15:44 1/0/2022	180
Tom	15:44 1/0/2022	167
Jim	15:45 1/0/2022	185
Tom	15:49 1/0/2022	181
Jim	15:57 1/0/2022	128
Sid	16:1 1/0/2022	171
Tom	16:1 1/0/2022	122
Tom	16:1 1/0/2022	173
Mike	16:1 1/0/2022	180
TomH	16:1 1/0/2022	153
Jim	22:45 1/3/2022	146
Jim	23:0 1/3/2022	156
Tom	23:0 1/3/2022	138
Jim	11:8 1/4/2022	147
Lana	11:8 1/4/2022	128
Jim	11:37 1/4/2022	152
Tom	11:37 1/4/2022	178
Mike	11:40 1/4/2022	168
Tom	11:40 1/4/2022	177
Tom	12:10 1/4/2022	153
Jim	12:10 1/4/2022	165
Mike	12:17 1/4/2022	158
Tom	12:17 1/4/2022	184
Jim	15:42 2/6/2022	55
Lana	15:42 2/6/2022	70
Tom	16:44 2/6/2022	73
TomH	16:44 2/6/2022	156
Tom	13:54 2/0/2022	115
hrk	13:54 2/0/2022	96
Tom	14:13 2/0/2022	144
TomH	14:13 2/0/2022	65
Tom	14:15 2/0/2022	133
Lana	14:15 2/0/2022	78
Tom	14:16 2/0/2022	119
Lana	14:16 2/0/2022	91
Lana	14:40 2/0/2022	102
Jim	14:40 2/0/2022	90
Jim	15:2 2/0/2022	101
TomH	15:2 2/0/2022	83
Lana	15:9 2/0/2022	78
Jim	15:9 2/0/2022	113
Tom	15:26 2/0/2022	111
Mike	15:26 2/0/2022	147
Jim	15:26 2/0/2022	127
Jim	15:33 2/0/2022	99
Lana	15:33 2/0/2022	124
Jim	9:42 2/1/2022	87
TomH	9:54 2/1/2022	138
Lana	9:54 2/1/2022	128
Lana	10:19 2/1/2022	65
TomH	10:23 2/1/2022	50
Tom	10:26 2/1/2022	120
Mike	10:30 2/1/2022	144
Tom	10:30 2/1/2022	92
Lana	10:34 2/1/2022	91
Mike	10:34 2/1/2022	144
TomH	10:34 2/1/2022	135
Jim	10:37 2/1/2022	103
Tom	10:37 2/1/2022	128
Tom	10:45 2/1/2022	136
TomH	10:45 2/1/2022	186
Jim	10:48 2/1/2022	87
Mike	11:8 2/1/2022	101
Tom	11:8 2/1/2022	158
Lana	11:8 2/1/2022	162
Jim	11:20 2/1/2022	141
Lana	11:20 2/1/2022	98
Lana	11:21 2/1/2022	172
Jim	11:26 2/1/2022	81
Tom	11:36 2/1/2022	53
hrk	12:5 2/1/2022	107
Tom	12:19 2/1/2022	126
